일련번호,시장/마트 번호,시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 코드,자치구 이름,점검일자
1712291,8,롯데마트 서울역점,50,사과(부사),1개,1900,21-Dec,영주GAP사과1봉지(4-6입)7990,2,대형마트,140000,중구,2021-12-23
1712292,8,롯데마트 서울역점,284,배(중품),1개,3760,21-Dec,나주(6-8)과33900,2,대형마트,140000,중구,2021-12-23
1712293,8,롯데마트 서울역점,271,배추(중간),1통,4500,21-Dec,알베기(2포기)9000,2,대형마트,140000,중구,2021-12-23
1712294,8,롯데마트 서울역점,133,무(세척무),1개,2800,21-Dec,"국내,맛다름",2,대형마트,140000,중구,2021-12-23
1712295,8,롯데마트 서울역점,309,양파(1.5kg망),1망(1.5kg),3490,21-Dec,"국내,합천GAP",2,대형마트,140000,중구,2021-12-23
1712296,8,롯데마트 서울역점,23,상추,100g,920,21-Dec,"국내,적상추1봉(200g)1840",2,대형마트,140000,중구,2021-12-23
1712297,8,롯데마트 서울역점,311,오이(다다기),1개,1330,21-Dec,"국내,스마트팜1봉(3개)3990",2,대형마트,140000,중구,2021-12-23
1712298,8,롯데마트 서울역점,118,"호박(인큐베이터),중간",1개,1790,21-Dec,"국내,인큐베이터",2,대형마트,140000,중구,2021-12-23
1712299,8,롯데마트 서울역점,58,"쇠고기(한우,불고기)",1근,36500,21-Dec,"국내,한우불고기1+등급",2,대형마트,140000,중구,2021-12-23
1712300,8,롯데마트 서울역점,99,돼지고기(생삼겹살),1근,16280,21-Dec,"국내,삼겹살",2,대형마트,140000,중구,2021-12-23
1712301,8,롯데마트 서울역점,18,닭고기,1마리,7480,21-Dec,"국내,생닭,하림",2,대형마트,140000,중구,2021-12-23
1712302,8,롯데마트 서울역점,171,달걀(10개),10개,4200,21-Dec,"국내,행복예감,특란",2,대형마트,140000,중구,2021-12-23
1712303,8,롯데마트 서울역점,320,달걀(30개),30개,5990,21-Dec,"국내,행복생생란,대란",2,대형마트,140000,중구,2021-12-23
1712304,8,롯데마트 서울역점,261,"조기(생물,수입산)",1마리,3980,21-Dec,"수입,부세조기(종)",2,대형마트,140000,중구,2021-12-23
1712305,8,롯데마트 서울역점,152,"명태(러시아,냉동)",1마리,4900,21-Dec,"수입,러시아",2,대형마트,140000,중구,2021-12-23
1712306,8,롯데마트 서울역점,254,"오징어(생물,국산)",1마리,5800,21-Dec,"국내,생물",2,대형마트,140000,중구,2021-12-23
1712307,8,롯데마트 서울역점,266,"고등어(생물,국산)",1마리,3300,21-Dec,"국내,생물",2,대형마트,140000,중구,2021-12-23
1713240,110,이마트 신도림점,50,사과,1개300g,1396,21-Dec,예산사과1봉지6980원5-6,2,대형마트,530000,구로구,2021-12-23
1713241,110,이마트 신도림점,276,사과(부사),1개600g,3633,21-Dec,국내산국3-4개10900,2,대형마트,530000,구로구,2021-12-23
1713242,110,이마트 신도림점,26,배(신고),1포기,3990,21-Dec,국내산손질배추,2,대형마트,530000,구로구,2021-12-23
1713243,110,이마트 신도림점,308,배추,1개,1750,21-Dec,국내산,2,대형마트,530000,구로구,2021-12-23
1713244,110,이마트 신도림점,24,무(1kg),1망,3980,21-Dec,국내산1.8kg,2,대형마트,530000,구로구,2021-12-23
1713245,110,이마트 신도림점,23,양파,100g,890,21-Dec,국내산1봉지200g1780,2,대형마트,530000,구로구,2021-12-23
1713246,110,이마트 신도림점,22,상추,1개,1196,21-Dec,1봉지5개5980백오이,2,대형마트,530000,구로구,2021-12-23
1713247,110,이마트 신도림점,312,오이,1개,1380,21-Dec,국내산인큐애호박,2,대형마트,530000,구로구,2021-12-23
1713248,110,이마트 신도림점,58,애호박,600g,42000,21-Dec,국내산한우1++,2,대형마트,530000,구로구,2021-12-23
1713249,110,이마트 신도림점,99,"쇠고기(한우,불고기)",600g,16704,21-Dec,국내산,2,대형마트,530000,구로구,2021-12-23
1713250,110,이마트 신도림점,283,돼지고기(생삼겹살),1마리1kg,7980,21-Dec,국내산하림,2,대형마트,530000,구로구,2021-12-23
1713251,110,이마트 신도림점,134,닭고기(육계),10개,3650,21-Dec,국내산난이생15개5480,2,대형마트,530000,구로구,2021-12-23
1713252,110,이마트 신도림점,17,달걀(왕란),30개,5980,21-Dec,국내산알찬란,2,대형마트,530000,구로구,2021-12-23
1713253,110,이마트 신도림점,144,달걀,1마리20cm,1280,21-Dec,국내산참조기5마리6400,2,대형마트,530000,구로구,2021-12-23
1713254,110,이마트 신도림점,264,"조기(국산,냉동)",1마리45cm,3980,21-Dec,수입러시아,2,대형마트,530000,구로구,2021-12-23
1713255,110,이마트 신도림점,254,"명태(냉동,수입산)",1마리25cm,7980,21-Dec,국내산생물,2,대형마트,530000,구로구,2021-12-23
1713256,110,이마트 신도림점,266,"오징어(생물,국산)",1마리30cm,3980,21-Dec,국내산생물,2,대형마트,530000,구로구,2021-12-23
1714257,110,이마트 신도림점,50,사과(부사),1개300g,1396,21-Dec,예산사과1봉지6980원5-6,2,대형마트,530000,구로구,2021-12-23
1714258,110,이마트 신도림점,276,배(신고),1개600g,3633,21-Dec,국내산국3-4개10900,2,대형마트,530000,구로구,2021-12-23
1714259,110,이마트 신도림점,26,배추,1포기,3990,21-Dec,국내산손질배추,2,대형마트,530000,구로구,2021-12-23
1714260,110,이마트 신도림점,308,무(1kg),1개,1750,21-Dec,국내산,2,대형마트,530000,구로구,2021-12-23
1714261,110,이마트 신도림점,24,양파,1망,3980,21-Dec,국내산1.8kg,2,대형마트,530000,구로구,2021-12-23
1714262,110,이마트 신도림점,23,상추,100g,890,21-Dec,국내산1봉지200g1780,2,대형마트,530000,구로구,2021-12-23
1714263,110,이마트 신도림점,22,오이,1개,1196,21-Dec,1봉지5개5980백오이,2,대형마트,530000,구로구,2021-12-23
1714264,110,이마트 신도림점,312,애호박,1개,1380,21-Dec,국내산인큐애호박,2,대형마트,530000,구로구,2021-12-23
1714265,110,이마트 신도림점,58,"쇠고기(한우,불고기)",600g,42000,21-Dec,국내산한우1++,2,대형마트,530000,구로구,2021-12-23
1714266,110,이마트 신도림점,99,돼지고기(생삼겹살),600g,16704,21-Dec,국내산,2,대형마트,530000,구로구,2021-12-23
1714267,110,이마트 신도림점,283,닭고기(육계),1마리1kg,7980,21-Dec,국내산하림,2,대형마트,530000,구로구,2021-12-23
1714268,110,이마트 신도림점,134,달걀(왕란),10개,3650,21-Dec,국내산난이생15개5480,2,대형마트,530000,구로구,2021-12-23
1714269,110,이마트 신도림점,17,달걀,30개,5980,21-Dec,국내산알찬란,2,대형마트,530000,구로구,2021-12-23
1714270,110,이마트 신도림점,144,"조기(국산,냉동)",1마리20cm,1280,21-Dec,국내산참조기5마리6400,2,대형마트,530000,구로구,2021-12-23
1714271,110,이마트 신도림점,264,"명태(냉동,수입산)",1마리45cm,3980,21-Dec,수입러시아,2,대형마트,530000,구로구,2021-12-23
1714272,110,이마트 신도림점,254,"오징어(생물,국산)",1마리25cm,7980,21-Dec,국내산생물,2,대형마트,530000,구로구,2021-12-23
1714273,110,이마트 신도림점,266,"고등어(생물,국산)",1마리30cm,3980,21-Dec,국내산생물,2,대형마트,530000,구로구,2021-12-23
1714342,8,롯데마트 서울역점,50,사과(부사),1개,2780,21-Dec,충주1봉5개입13900원,2,대형마트,140000,중구,2021-12-23
1714343,8,롯데마트 서울역점,284,배(중품),1개,4500,21-Dec,국내1봉4개입17900원,2,대형마트,140000,중구,2021-12-23
1714344,8,롯데마트 서울역점,271,배추(중간),1통,3290,21-Dec,"국내,",2,대형마트,140000,중구,2021-12-23
1714345,8,롯데마트 서울역점,133,무(세척무),1개,1790,21-Dec,"국내,",2,대형마트,140000,중구,2021-12-23
1714346,8,롯데마트 서울역점,309,양파(1.5kg망),"1망(1,5kg)",3490,21-Dec,"국내,1.5kg1망",2,대형마트,140000,중구,2021-12-23
1714347,8,롯데마트 서울역점,23,상추,100g,930,21-Dec,"국내,적상추200g1990원",2,대형마트,140000,중구,2021-12-23
1714348,8,롯데마트 서울역점,311,오이(다다기),1개,1330,21-Dec,"국내,다다기,1봉3개입3990원",2,대형마트,140000,중구,2021-12-23
1714349,8,롯데마트 서울역점,118,"호박(인큐베이터),중간",1개,1990,21-Dec,"국내,인큐베이터",2,대형마트,140000,중구,2021-12-23
1714350,8,롯데마트 서울역점,58,"쇠고기(한우,불고기)",1근,36000,21-Dec,"국내,불고기",2,대형마트,140000,중구,2021-12-23
1714351,8,롯데마트 서울역점,99,돼지고기(생삼겹살),1근,17880,21-Dec,"국내,삼겹살",2,대형마트,140000,중구,2021-12-23
1714352,8,롯데마트 서울역점,18,닭고기,1마리,8480,21-Dec,"국내,동물복지",2,대형마트,140000,중구,2021-12-23
1714353,8,롯데마트 서울역점,171,달걀(10개),10개,4290,21-Dec,"국내,하얀계란",2,대형마트,140000,중구,2021-12-23
1714354,8,롯데마트 서울역점,320,달걀(30개),30개,5990,21-Dec,"국내,행복생생란",2,대형마트,140000,중구,2021-12-23
1714355,8,롯데마트 서울역점,261,"조기(생물,수입산)",1마리,4500,21-Dec,"수입,부세조기(대)",2,대형마트,140000,중구,2021-12-23
1714356,8,롯데마트 서울역점,152,"명태(러시아,냉동)",1마리,4900,21-Dec,"수입,러시아",2,대형마트,140000,중구,2021-12-23
1714357,8,롯데마트 서울역점,254,"오징어(생물,국산)",1마리,6900,21-Dec,"국내,생물",2,대형마트,140000,중구,2021-12-23
1714358,8,롯데마트 서울역점,266,"고등어(생물,국산)",1마리,5980,21-Dec,"국내,생물",2,대형마트,140000,중구,2021-12-23
1715464,110,이마트 신도림점,50,사과(부사),1개(200g),1140,21-Dec,"국내산,부사",2,대형마트,530000,구로구,2021-12-23
1715465,110,이마트 신도림점,276,배(신고),1개(700g),3990,21-Dec,"국내산,신고",2,대형마트,530000,구로구,2021-12-23
1715466,110,이마트 신도림점,26,배추,1포기(1.8kg),3870,21-Dec,"국내산,포기배추",2,대형마트,530000,구로구,2021-12-23
1715467,110,이마트 신도림점,308,무(1kg),1개(1kg),1680,21-Dec,국내산,2,대형마트,530000,구로구,2021-12-23
1715468,110,이마트 신도림점,24,양파,1망(1.8kg),3980,21-Dec,"국내산,1망(5-6개)",2,대형마트,530000,구로구,2021-12-23
1715469,110,이마트 신도림점,23,상추,100g,840,21-Dec,"국내산,적상추(1봉지200g)",2,대형마트,530000,구로구,2021-12-23
1715470,110,이마트 신도림점,22,오이,1개(200g),1196,21-Dec,"국내산,백오이(1봉지5개5980원)",2,대형마트,530000,구로구,2021-12-23
1715471,110,이마트 신도림점,312,애호박,1개(300g),1880,21-Dec,"국내산,논개",2,대형마트,530000,구로구,2021-12-23
1715472,110,이마트 신도림점,58,"쇠고기(한우,불고기)",600g,48000,21-Dec,"국내산,한우,설도",2,대형마트,530000,구로구,2021-12-23
1715473,110,이마트 신도림점,99,돼지고기(생삼겹살),600g,16080,21-Dec,"국내산,생삼겹살",2,대형마트,530000,구로구,2021-12-23
1715474,110,이마트 신도림점,283,닭고기(육계),1마리(1050g),9980,21-Dec,"국내산,다향,토종",2,대형마트,530000,구로구,2021-12-23
1715475,110,이마트 신도림점,171,달걀(10개),10개,3980,21-Dec,"국내산,특란,1등급란",2,대형마트,530000,구로구,2021-12-23
1715476,110,이마트 신도림점,320,달걀(30개),30개,6480,21-Dec,"국내산,특란,알판란",2,대형마트,530000,구로구,2021-12-23
1715477,110,이마트 신도림점,136,"조기(국산,생물)",1마리(15cm),980,21-Dec,"국내산,생물,참조기",2,대형마트,530000,구로구,2021-12-23
1715478,110,이마트 신도림점,264,"명태(냉동,수입산)",1마리(45cm),4980,21-Dec,"수입산,냉동,러시아",2,대형마트,530000,구로구,2021-12-23
1715479,110,이마트 신도림점,254,"오징어(생물,국산)",1마리(30cm),6580,21-Dec,"국내산,생물",2,대형마트,530000,구로구,2021-12-23
1715480,110,이마트 신도림점,266,"고등어(생물,국산)",1마리(25cm),2990,21-Dec,"국내산,생물",2,대형마트,530000,구로구,2021-12-23
1716228,8,롯데마트 서울역점,50,사과(부사),1개,2780,21-Dec,"국내,충주5개,13900",2,대형마트,140000,중구,2021-12-23
1716229,8,롯데마트 서울역점,284,배(중품),1개,4400,21-Dec,"국내,4개17600",2,대형마트,140000,중구,2021-12-23
1716230,8,롯데마트 서울역점,271,배추(중간),1통,3800,21-Dec,"국내,알베기",2,대형마트,140000,중구,2021-12-23
