,시장/마트 이름
79895,롯데마트 서울역점
79912,이마트 신도림점
80083,광장시장
80100,통인시장
80117,롯데백화점
80134,신세계백화점
80151,이마트 청계점
80168,서울중앙시장
80185,남대문시장
80202,이마트 성수점
80219,이마트 왕십리점
80236,금남시장
80253,뚝도시장
80270,롯데마트 강변점
80287,이마트 자양점
80304,자양골목시장
80321,노룬산골목시장
80338,홈플러스 동대문점
80355,경동시장
80372,청량리종합시장
80389,롯데백화점 청량리점
80407,우림시장
80423,이마트 상봉점
80439,동원시장
80455,홈플러스 면목점
80471,숭인시장
80488,하나로클럽 미아점
80505,수유재래시장
80522,롯데백화점 미아점
80539,방학동도깨비시장
80556,이마트 창동점
80573,신창시장
80590,홈플러스 방학점
80607,롯데백화점 노원점
80624,홈플러스 중계점
80641,공릉동 도깨비시장
80658,상계중앙시장
80675,대조시장
80692,NC백화점 불광점
80709,이마트 은평점
80726,대림시장
80743,롯데슈퍼
80760,인왕시장
80777,영천시장
80794,현대백화점 신촌점
80811,농협하나로마트 신촌점
80828,망원시장
80845,홈플러스 월드컵점
80862,마포농수산물시장
80879,이마트 목동점
80896,신영시장
80913,목3동시장
80930,홈플러스 목동점
80947,이마트 가양점
80964,송화시장
80981,홈플러스 등촌점
80998,화곡본동시장
81015,고척근린시장
81032,남구로시장
81049,NC백화점 신구로점
81066,현대시장
81083,남문시장
81100,홈플러스 독산점
81117,홈플러스 시흥점
81134,롯데백화점 영등포점
81151,이마트 이수점
81168,남성시장
81185,관악신사시장(신림4동)
81202,세이브 마트
81219,신원시장(신림1동)
81236,롯데백화점 관악점
81253,원당종합시장
81270,신세계백화점 강남점
81286,방배종합시장
81303,뉴코아아울렛 강남점
81320,하나로클럽 양재점
81337,청담삼익시장
81354,이마트 역삼점
81371,롯데백화점 강남점
81388,도곡시장
81405,마천중앙시장
81422,방이시장
81439,롯데백화점 잠실점
81456,홈플러스 잠실점
81473,둔촌역전통시장
81490,이마트 명일점
81507,홈플러스 강동점
81524,암사종합시장
81541,농협 하나로마트 용산점
81558,후암시장
81575,이마트 용산점
81592,용문시장
81609,돈암제일시장
81625,이마트 미아점
81642,현대백화점 미아점
81659,장위골목시장
81676,이마트 여의도점
81693,홈플러스 영등포점
81710,영등포전통시장
81727,대림중앙시장
